sample,replicate,ct_values
std1,1,17.5683580256772
std10,1,20.9031428292909
std100,1,23.8064112924400
std1,2,17.1434171196594
std10,2,20.4825555036972
std100,2,23.6502922314237
co10_input,1,18.1144174960401
co10_input,2,18.1029566518520
co10_input,3,18.2089376815011
co10_ip,1,30.1752404384514
co10_ip,2,30.9410810833956
co10_ip,3,32.0930691465057
35sco_input,1,17.2966943631642
35sco_input,2,17.5123214024099
35sco_input,3,17.1065002367163
35sco_ip,1,24.7269110053792
35sco_ip,2,24.4224070812321
35sco_ip,3,24.6725491929881
