sample,replicate,ct_values
std1,1,18.5445034542787
std10,1,22.1003561395164
std100,1,25.0415610747971
std1,2,18.2836802028569
std10,2,21.6553505322656
std100,2,24.9932139554147
co10_input,1,19.5170410715608
co10_input,2,20.2462350107422
co10_input,3,19.8509165022379
co10_ip,1,29.8477004321724
co10_ip,2,29.4537638449778
co10_ip,3,29.5866793508558
35sco_input,1,18.3221714652605
35sco_input,2,18.3396701404906
35sco_input,3,17.9432673345236
35sco_ip,1,28.996438392381
35sco_ip,2,29.7682315428936
35sco_ip,3,28.8400657239054
